0		89.056		89.056		-1		-1
1		89.056		89.056		-1		-1
2		187.188		94.7937		-1		-1
3		189.317		96.4582		-1		-1
4		190.003		98.3457		-1		-1
5		190.599		100.053		180		-1
6		189.649		101.423		180		-1
7		189.134		102.956		180		-1
8		188.567		104.977		175.302		-1
9		187.804		107.666		167.054		-1
10		186.966		108.686		147.618		-1
11		186.897		110.424		160.891		-1
12		186.859		112.019		175.73		-1
13		186.972		113.694		180		-1
14		186.478		115.167		175.588		-1
15		186.183		117.107		177.729		-1
16		186.287		118.453		176.962		-1
17		186.632		119.247		180		-1
18		186.72		120.002		180		-1
19		186.786		121.276		180		-1
20		187.025		121.93		180		-1
21		187.054		121.827		180		-1
22		186.901		121.93		180		-1
23		187.041		121.983		180		-1
24		186.454		121.904		180		-1
25		185.741		121.693		180		-1
26		185.264		121.1		180		-1
27		184.58		120.546		180		-1
28		183.942		120.082		180		-1
29		183.386		119.509		180		-1
30		181.251		117.821		180		-1
31		180.271		112.712		-1		180
32		178.292		89.771		-1		180
33		176.723		94.4518		-1		180
34		174.668		101.369		-1		176.221
35		172.87		110.228		-1		180
36		170.632		114.49		-1		180
37		168.88		115.921		-1		180
38		167.682		117.393		-1		180
39		165.047		118.866		-1		173.771
40		163.429		121.804		-1		176.495
41		162.079		123.598		-1		173.68
42		161.608		128.244		-1		179.072
43		161.069		130.506		-1		174.077
44		159.996		134.951		-1		177.424
45		157.716		138.383		-1		172.978
46		155.045		144.143		-1		178.179
47		153.854		148.48		-1		177.403
48		152.628		154.504		-1		180
49		152.037		159.356		-1		180
50		151.485		164.261		-1		180
51		150.497		164.86		-1		-1
52		148.65		162.411		-1		-1
53		145.715		152.239		-1		-1
54		139.649		131.895		-1		-1
55		134.15		123.863		-1		-1
56		133.896		121.695		-1		-1
57		132.88		119.491		-1		-1
58		132.145		116.999		-1		-1
59		131.619		113.718		-1		-1
60		130.772		114.365		-1		-1
